symbol
RELIANCE.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
TCS.NS
SBIN.NS
AXISBANK.NS
LT.NS
KOTAKBANK.NS
ITC.NS
BHARTIARTL.NS
HCLTECH.NS
ASIANPAINT.NS
MARUTI.NS
BAJFINANCE.NS
SUNPHARMA.NS
WIPRO.NS
TITAN.NS
ULTRACEMCO.NS
NESTLEIND.NS
